2024-04-28 18:56:38,456 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-28 18:56:42,161 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 18:56:42,161 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 18:56:42,163 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 18:56:42,164 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 18:56:42,165 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 18:56:42,166 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-28 18:56:42,166 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-28 18:56:42,220 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 18:56:47,174 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 18:56:48,212 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-28 18:56:51,370 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-28 18:57:05,144 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-28 18:57:05,239 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-28 18:57:05,246 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-28 18:57:20,006 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 18:57:20,006 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 18:57:20,008 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 18:57:20,009 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 18:57:20,009 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 18:57:20,011 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-28 18:57:20,011 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-28 18:57:20,508 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 18:57:25,513 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 22:04:26,596 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-28 22:04:26,675 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-28 22:04:26,675 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2024-04-28 22:04:26,879 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-28 22:04:26,949 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-28 22:04:32,073 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 22:04:32,074 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 22:04:32,076 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 22:04:32,077 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 22:04:32,078 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 22:04:32,083 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-28 22:04:32,084 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-28 22:04:33,038 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 22:04:38,079 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 23:02:29,262 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 22:16:10,852 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 22:16:10,853 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 22:16:10,855 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 22:16:10,856 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 22:16:10,857 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 22:16:10,863 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-29 22:16:10,863 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-29 22:16:13,562 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 22:16:18,350 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 22:23:46,738 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 23:44:55,512 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 23:44:55,512 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 23:44:55,513 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 23:44:55,513 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 23:44:55,514 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 23:44:59,372 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-29 23:44:59,374 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-29 23:44:59,374 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-29 23:44:59,468 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-29 23:44:59,527 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-29 23:45:03,150 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 23:45:03,150 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 23:45:03,152 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 23:45:03,153 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 23:45:03,154 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 23:45:03,155 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-29 23:45:03,155 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-29 23:45:06,302 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 23:45:11,312 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-30 00:05:56,938 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-30 00:06:08,098 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-30 00:06:12,956 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-30 00:09:41,644 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-30 00:40:10,201 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-30 00:40:10,201 | MainThread   | [INFO    ] | <module>            |: info
2024-04-30 00:40:10,202 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-30 00:40:10,203 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-30 00:40:10,204 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-30 00:40:11,077 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-30 00:40:15,575 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-30 00:41:27,795 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-30 00:41:27,795 | MainThread   | [INFO    ] | <module>            |: info
2024-04-30 00:41:27,797 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-30 00:41:27,798 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-30 00:41:27,800 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-30 01:59:24,431 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-30 02:02:14,568 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-30 02:02:14,570 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-30 02:02:14,571 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-30 02:02:14,729 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-30 02:02:14,738 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
