2024-04-29 20:06:28,551 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 20:06:28,554 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 20:06:28,554 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 20:06:28,555 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 20:06:32,536 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-29 20:06:32,536 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-29 20:06:32,536 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 20:06:37,683 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 20:10:27,716 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 20:10:34,675 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 20:10:46,930 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-29 20:17:24,210 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 20:17:24,210 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 20:17:24,213 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 20:17:24,214 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 20:17:24,215 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 20:17:31,698 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-29 20:17:31,698 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-29 20:17:31,699 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 20:17:36,586 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 20:19:55,723 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 20:20:13,358 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 20:20:17,801 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 20:23:05,328 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 20:23:11,297 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 20:23:58,807 | MainThread   | [ERROR   ] | _connect            |: 
2024-04-29 20:23:59,808 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2024-04-29 20:23:59,809 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
