81346, 24.30, -85.61 
81450, 18.33, -85.49 
81554, 17.91, -85.41 
81658, 17.34, -84.72 
81762, 14.45, -83.65 
81866, 11.68, -78.20 
81970, 7.06, -74.25 
82074, 1.81, -65.99 
82178, 0.52, -61.68 
82282, 2.83, -56.70 
82386, 1.92, -52.03 
82490, 1.45, -47.81 
82594, 1.18, -44.50 
82698, 0.48, -42.50 
82802, 1.01, -39.23 
82906, 0.00, -34.54 
83010, -0.09, -30.95 
83114, -0.12, -26.82 
83218, -0.17, -23.93 
83322, 4.08, -11.59 
83426, -1.43, -10.75 
83530, -1.61, -7.83 
83634, -0.57, -2.11 
83738, 6.92, 12.77 
83842, -5.78, -3.14 
83946, -2.87, -0.28 
84050, -1.68, 1.55 
84154, -1.20, -0.15 
84258, -0.96, 0.99 
84362, -0.23, -3.28 
84466, -0.35, -5.82 
84570, 3.57, 0.47 
84673, -4.10, 0.58 
84777, 0.23, 6.27 
84880, 2.54, 2.20 
84983, -2.39, 1.03 
85087, -1.64, 1.00 
85191, -6.06, 9.33 
85295, 2.22, -0.92 
85399, -0.42, 2.31 
85503, -6.47, -2.13 
85607, 0.93, -1.40 
85711, -5.95, 0.05 
85815, -1.04, -0.26 
85919, -2.70, 1.34 
86023, -11.69, -28.42 
86127, -0.74, 26.78 
86231, -3.38, 4.10 
86335, 0.70, 10.40 
86439, 32.92, 37.18 
86543, 13.14, 39.33 
86647, 0.94, 51.62 
86751, 12.00, 54.53 
86855, 11.82, 52.99 
86959, 13.14, 57.00 
87063, 15.89, 58.23 
87167, 12.10, 62.65 
87271, 14.53, 65.15 
87375, 14.17, 66.81 
87479, 16.65, 67.87 
87583, 16.59, 69.37 
87687, 17.07, 70.69 
87791, 17.29, 71.40 
87895, 18.35, 73.12 
87999, 21.10, 75.74 
88103, 28.50, 79.33 
88207, 30.85, 81.66 
88311, 41.22, 83.55 
88415, 45.70, 84.38 
88519, 41.90, 84.03 
88623, 44.70, 84.61 
88727, 42.65, 84.74 
88831, 46.80, 85.27 
88935, 51.08, 85.77 
89039, 44.13, 85.31 
89143, 50.34, 85.55 
89247, 49.01, 85.40 
89351, 46.25, 84.94 
89455, 43.44, 84.74 
89559, 47.93, 85.09 
89663, 45.98, 85.18 
89767, 43.98, 85.15 
89871, 43.06, 84.91 
89975, 47.49, 85.42 
90079, 43.51, 85.10 
90183, 49.30, 85.40 
90287, 47.94, 85.91 
90391, 49.16, 85.79 
90495, 43.06, 84.94 
90599, 43.40, 85.43 
90703, 46.65, 85.74 
90807, 47.62, 85.34 
90911, 48.52, 85.53 
91015, 50.08, 85.58 
91119, 47.69, 85.45 
91223, 46.85, 85.41 
91327, 55.14, 86.09 
91431, 46.93, 85.61 
91535, 49.92, 85.68 
91639, 53.36, 85.84 
91743, 51.44, 85.35 
91847, 47.50, 85.08 
91951, 49.47, 85.37 
92055, 48.33, 85.72 
92159, 51.38, 85.58 
92263, 48.26, 85.14 
92367, 49.32, 85.58 
92471, 47.52, 85.44 
92575, 53.64, 85.93 
92679, 53.08, 86.01 
92783, 52.36, 85.19 
92887, 51.62, 84.96 
92991, 52.60, 84.43 
93095, 53.23, 84.02 
93199, 51.70, 83.59 
93303, 43.78, 81.26 
93407, 27.03, 71.44 
93511, 10.45, 54.51 
93615, 13.04, 39.86 
93719, 7.17, 29.83 
93823, 5.59, 41.91 
93927, -6.75, 25.38 
94031, 42.18, 17.08 
94135, -75.99, 8.56 
94239, -22.59, 28.71 
94343, -1.59, 35.93 
94447, 10.93, 20.46 
94551, 14.04, 17.94 
94655, 14.27, 13.88 
94759, 23.87, 16.36 
94863, 21.34, 26.24 
94967, 62.08, 58.53 
95071, 25.58, 24.85 
95175, 38.72, 43.02 
95279, 35.57, 42.91 
95383, 35.89, 44.27 
95487, 36.06, 45.20 
95591, 36.24, 46.12 
95695, 35.99, 44.81 
95799, 36.35, 45.99 
95903, 36.14, 45.52 
96007, 37.27, 45.85 
96111, 37.34, 46.42 
96215, 36.47, 45.11 
96319, 37.38, 46.20 
96423, 37.67, 45.82 
96527, 36.91, 45.96 
96631, 37.29, 45.66 
96735, 37.95, 46.22 
96839, 37.37, 45.85 
96943, 37.03, 46.02 
97047, 38.03, 46.18 
97151, 36.24, 45.15 
97255, 38.14, 46.45 
97359, 37.42, 46.29 
97463, 38.12, 46.86 
97567, 36.81, 45.66 
97671, 36.20, 45.48 
97775, 37.42, 45.68 
97879, 36.32, 45.26 
97983, 37.16, 45.78 
98087, 37.97, 46.05 
98191, 37.92, 45.81 
98295, 37.15, 46.24 
98399, 37.69, 45.57 
98503, 37.62, 45.70 
98607, 36.64, 45.33 
98711, 38.44, 45.75 
98815, 37.46, 45.70 
98919, 38.33, 46.47 
99023, 37.65, 45.73 
99127, 38.30, 45.72 
99231, 38.62, 46.42 
99335, 37.95, 45.81 
99439, 37.62, 45.61 
99543, 37.72, 45.84 
99647, 36.54, 45.74 
99751, 37.28, 45.57 
99855, 37.68, 46.34 
99959, 37.56, 46.10 
100063, 37.07, 45.44 
100167, 37.22, 45.04 
100271, 37.50, 45.09 
100375, 37.81, 45.55 
100479, 37.93, 44.32 
100583, 36.50, 45.76 
100687, 38.47, 45.85 
100791, 37.74, 44.38 
100895, 37.75, 45.77 
100999, 37.84, 45.33 
101103, 37.45, 45.33 
101207, 37.56, 45.63 
101311, 37.94, 45.37 
101415, 37.79, 45.11 
101519, 37.61, 45.20 
101623, 39.03, 46.24 
101727, 38.01, 46.06 
101831, 37.58, 45.57 
101935, 38.30, 44.87 
102039, 36.92, 45.29 
102143, 37.04, 45.52 
102247, 37.75, 45.46 
102351, 37.72, 45.20 
102455, 37.62, 44.87 
102559, 38.05, 45.86 
102663, 37.79, 45.26 
102767, 38.20, 45.49 
102871, 37.84, 45.26 
