337425, 64.51, -3.33, -9.70, 9.53, 18.25, 77.50, 1.16 
337462, 63.28, -4.62, -9.78, 9.52, 18.25, 76.01, 0.58 
337499, 65.20, 4.34, -9.93, 9.53, 18.26, 74.79, 0.97 
337536, 60.32, -3.30, -10.09, 9.54, 18.25, 73.20, 0.55 
337573, 59.04, -4.60, -10.26, 9.54, 18.24, 71.63, 0.03 
337610, 58.27, -4.44, -10.35, 9.54, 18.23, 70.21, -0.42 
337647, 68.99, 21.54, -10.23, 9.55, 18.09, 70.20, 1.79 
337684, 58.16, -3.58, -10.28, 9.53, 18.08, 68.95, 1.24 
337721, 58.02, -3.58, -10.35, 9.53, 18.07, 67.80, 0.75 
337758, 57.22, -2.99, -10.50, 9.53, 18.08, 66.61, 0.38 
337795, 59.03, -3.61, -10.74, 9.54, 18.07, 65.63, -0.01 
337832, 52.19, -5.79, -11.24, 9.54, 18.09, 63.83, -0.59 
337869, 52.12, -1.76, -11.53, 9.53, 18.09, 62.40, -0.71 
337906, 47.18, -2.98, -11.61, 9.52, 18.11, 60.80, -0.95 
337943, 45.83, -1.33, -11.75, 9.51, 18.14, 59.19, -1.00 
337980, 44.60, -1.90, -11.88, 9.51, 18.09, 57.61, -1.09 
338017, 44.15, -2.75, -12.05, 9.51, 18.04, 56.11, -1.25 
338054, 41.51, 1.21, -12.42, 9.49, 18.01, 54.32, -1.02 
338091, 36.53, -2.89, -12.78, 9.49, 18.00, 52.22, -1.22 
338128, 32.85, -2.64, -13.14, 9.48, 17.98, 49.95, -1.37 
338165, 31.94, -2.28, -13.26, 9.49, 17.99, 48.04, -1.45 
338202, 31.29, -1.50, -13.28, 9.49, 17.98, 46.35, -1.45 
338239, 31.63, -1.78, -13.35, 9.49, 17.95, 44.82, -1.48 
338276, 31.08, -2.65, -13.44, 9.49, 17.93, 43.36, -1.60 
338313, 47.80, 20.05, -13.65, 9.47, 17.92, 43.61, 0.55 
338350, 27.00, -1.89, -13.81, 9.46, 17.96, 41.81, 0.29 
338387, 26.23, -2.49, -13.93, 9.44, 17.95, 40.15, -0.00 
338424, 26.22, -2.69, -14.04, 9.43, 17.99, 38.66, -0.28 
338461, 24.39, -2.20, -14.14, 9.41, 18.03, 37.14, -0.49 
338498, 23.18, -2.24, -14.27, 9.39, 18.06, 35.62, -0.68 
338535, 22.34, 0.93, -14.45, 9.38, 18.06, 34.14, -0.53 
338572, 18.42, -1.50, -14.60, 9.38, 18.02, 32.43, -0.63 
338609, 18.06, -0.98, -14.76, 9.38, 18.01, 30.84, -0.66 
338646, 14.04, -2.16, -14.90, 9.37, 17.97, 29.04, -0.82 
338683, 16.22, -0.55, -15.25, 9.36, 17.87, 27.44, -0.80 
338720, 11.11, -3.05, -15.53, 9.35, 17.91, 25.56, -1.04 
338757, 11.59, -0.45, -15.75, 9.33, 17.96, 23.97, -1.00
338794, 10.41, 0.61, -16.00, 9.31, 17.96, 22.38, -0.85 
338831, 2.09, -3.93, -16.25, 9.30, 17.99, 20.13, -1.17 
338868, 4.57, 0.46, -16.40, 9.29, 18.04, 18.43, -1.02 
338905, 3.84, -0.37, -16.59, 9.28, 18.08, 16.81, -0.96 
338942, 2.42, -0.48, -16.70, 9.27, 18.12, 15.27, -0.92 
338979, 2.39, -0.24, -16.77, 9.27, 18.14, 13.92, -0.85 
339016, 1.03, -0.87, -16.85, 9.27, 18.15, 12.56, -0.85 
339053, 1.30, -0.16, -16.95, 9.26, 18.14, 11.34, -0.79 
339090, 1.09, -0.46, -17.06, 9.26, 18.13, 10.21, -0.76 
339127, -0.32, -0.51, -17.08, 9.27, 18.13, 9.15, -0.73 
