2024-02-14 16:42:00,711 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:42:00,712 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:42:00,714 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:42:00,715 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:42:00,716 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:42:00,742 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:42:00,742 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:42:00,743 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:42:05,328 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:42:06,830 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:42:09,945 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:42:20,223 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:42:20,282 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:42:20,287 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:42:40,246 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:42:40,246 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:42:40,250 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:42:40,251 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:42:40,252 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:42:40,311 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:42:40,312 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:42:40,312 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:42:44,988 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:42:46,491 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:42:49,665 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:43:16,183 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:43:16,243 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:43:16,248 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:43:19,610 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:43:19,611 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:43:19,613 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:43:19,614 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:43:19,614 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:43:19,642 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:43:19,643 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:43:19,643 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:43:24,349 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:43:25,972 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:43:29,146 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:44:00,917 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:44:00,980 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:44:00,987 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:44:04,344 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:44:04,344 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:44:04,347 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:44:04,347 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:44:04,348 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:44:04,375 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:44:04,376 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:44:04,376 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:44:10,909 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:44:13,133 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:44:16,306 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:44:16,308 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-14 16:44:16,369 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:44:16,375 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:44:25,722 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:44:25,722 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:44:25,724 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:44:25,725 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:44:25,726 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:44:25,997 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:44:25,997 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:44:25,998 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:44:36,770 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:46:43,734 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:46:46,531 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:46:46,532 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:46:46,533 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-02-14 16:46:46,611 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:46:46,616 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:46:49,935 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:46:49,935 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:46:49,937 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:46:49,938 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:46:49,939 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:46:49,969 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:46:49,970 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:46:49,970 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:46:54,653 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:46:55,661 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:46:58,789 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:46:59,519 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:47:02,945 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:47:02,946 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:47:02,948 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:47:02,949 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:47:02,949 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:47:02,980 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:47:02,980 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:47:02,980 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:47:07,672 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:47:09,176 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:47:12,350 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:49:09,290 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:49:09,292 | MainThread   | [WARNING ] | exit_handler        |: 
2024-02-14 16:49:09,348 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:49:09,354 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 17:23:45,453 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 17:23:45,453 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 17:23:45,456 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 17:23:45,457 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 17:23:45,458 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 17:23:45,806 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 17:23:45,806 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 17:23:45,807 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 17:23:50,433 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 17:28:15,279 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 17:28:23,370 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 17:28:23,371 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
